name,followers_count,following_count,statuses_count,listed_count,date
invest,149,245,20,1,2009/11/20
brock ley,1,3,1,0,2009/09/05
Devon,2.0,1.0,93.0,0.0,2011/08/21
PmanH,3.0,55.0,3.0,0.0,2013/07/26
Gary Nicholls,42.0,180.0,741.0,0.0,2011/02/25
Trevor Moore,21,185,41,0,2009/03/11
"Puett 
",0.0,0.0,4.0,0.0,2012/03/14
blunder woman,1939.0,965.0,17712.0,54.0,2010/07/01
Tye,0,0,1,0,2009/04/26
naif,12.0,32.0,46.0,0.0,2012/02/01
Yαzeed ♬,188.0,142.0,258.0,1.0,2012/09/22
MIKE,0.0,2.0,2.0,0.0,2011/03/08
Ceja e Tirro,11.0,13.0,82.0,0.0,2011/07/25
Melissa Groshong,9.0,30.0,26.0,0.0,2012/05/28
NoClassificado,36.0,1.0,38.0,1.0,2011/06/05
정나리,1.0,6.0,2.0,0.0,2011/08/03
Pritchard Matambo,4.0,15.0,8.0,0.0,2013/03/24
おぐ卍まみこ,212.0,245.0,3038.0,4.0,2011/07/23
gabriela de freitas,6.0,17.0,8.0,0.0,2011/10/31
Savino Cueva,0.0,38.0,4.0,0.0,2013/06/13
Bong,1.0,11.0,13.0,0.0,2012/10/27
Marco Antonio,5.0,1.0,3.0,0.0,2010/05/27
ingrid troya vera,2.0,30.0,1.0,0.0,2011/09/06
Laura Procell,4,1,5,0,2009/04/12
PJ,1.0,4.0,5.0,0.0,2011/12/27
perlmanproblems,31.0,12.0,57.0,0.0,2012/01/12
daniela mendes,4,1,1,0,2009/03/19
Ezequiel Williams,1.0,4.0,6.0,0.0,2010/09/01
Mariane,24,46,51,2,2009/09/02
danielle lima,0.0,56.0,2.0,0.0,2011/07/14
Esmeralda,0.0,1.0,1.0,0.0,2011/03/15
Fathan,11.0,14.0,10.0,0.0,2013/08/05
kou,4.0,14.0,7.0,0.0,2012/11/30
K.H,18.0,24.0,853.0,0.0,2012/08/11
セラ,5.0,7.0,27.0,0.0,2013/07/05
̶†̶ ̶i̶ ̶†̶▲̶ ⚡,218.0,122.0,2428.0,0.0,2011/12/13
Saddam Muhammad A,1.0,26.0,4.0,0.0,2013/06/04
j 69,5.0,162.0,7.0,0.0,2012/02/14
Indipreneur,8.0,6.0,17.0,0.0,2013/08/14
Nena Drisdelle,58.0,427.0,308.0,0.0,2012/10/11
terry Pell,0.0,34.0,4.0,0.0,2012/12/17
rimaalhilali,91.0,234.0,40.0,0.0,2013/07/07
THU REAL FLOWER,32.0,413.0,113.0,0.0,2012/10/20
Katie McCullar,26.0,55.0,44.0,0.0,2012/03/03
edi junaedi,0.0,3.0,1.0,0.0,2011/06/25
shavondra gray,4.0,8.0,9.0,0.0,2012/10/05
brainely martinez,1.0,5.0,1.0,0.0,2011/11/11
신유진,1.0,13.0,23.0,0.0,2012/09/10
BaizuraAriff,10.0,26.0,44.0,0.0,2011/05/05
RAGHU,13.0,59.0,3.0,0.0,2010/09/03
IMPULSA,2.0,2.0,4.0,0.0,2011/08/24
Y.OKANO,18.0,127.0,145.0,1.0,2012/01/07
riezky aditya,290.0,194.0,11969.0,1.0,2011/02/08
CRISTOBAL,7.0,2.0,15.0,0.0,2010/11/21
"FOLLOW TASCAZ
Foz",0.0,0.0,1.0,0.0,2012/07/19
Louisa x,679.0,1437.0,3057.0,2.0,2011/04/13
Ditte Rosleff,3.0,35.0,1.0,0.0,2011/07/18
thayla,0.0,19.0,10.0,0.0,2012/01/23
katelincarter,231.0,309.0,4511.0,12.0,2010/09/09
Lady kush,67.0,116.0,1007.0,0.0,2010/10/14
Ruud van der Leij,788.0,1672.0,3551.0,8.0,2010/08/05
すみれ,0.0,20.0,27.0,0.0,2013/04/23
Bangalijstje,0.0,0.0,11.0,0.0,2012/03/30
mustela,0.0,19.0,1.0,0.0,2013/08/01
Gabriel Coleman,172,380,2805,0,2009/04/22
naherStryk,0.0,0.0,18.0,0.0,2013/01/22
Lucia,17.0,70.0,88.0,0.0,2012/11/07
Dwi purnamasari,3.0,9.0,2.0,0.0,2012/12/29
YOGESH KUMAR,0.0,1.0,4.0,0.0,2012/03/27
anandu asokan,0.0,0.0,1.0,0.0,2013/01/07
Antoinette Ohene,1.0,5.0,1.0,0.0,2013/05/09
Kip Murphy,344.0,353.0,3901.0,0.0,2010/03/11
James Coleman,2.0,29.0,2.0,0.0,2011/05/12
shoaib  shaikh,6.0,36.0,3.0,0.0,2010/06/06
Laura,1.0,17.0,9.0,0.0,2012/09/01
Pedro Plaza Tenorio,22.0,49.0,6.0,0.0,2013/03/27
11 August ^.^,115.0,114.0,130.0,0.0,2013/06/14
Richard Haug,43.0,218.0,1446.0,0.0,2010/04/10
Jordan Dome,30.0,80.0,34.0,0.0,2012/09/26
teruha,30.0,61.0,93.0,0.0,2013/06/25
yorgelis oriana,4.0,18.0,24.0,0.0,2012/03/25
Yahir,0.0,6.0,2.0,0.0,2013/01/23
crazhiiidou,4.0,65.0,19.0,0.0,2013/03/17
octavio  pineda,1.0,2.0,1.0,0.0,2011/11/10
саша каширина,0.0,0.0,1.0,0.0,2012/11/22
Alex Lima dos Santos,7.0,11.0,11.0,0.0,2012/01/31
Pst.Nkonina Samuel.,1.0,15.0,2.0,0.0,2012/12/20
KWANG DUK SEO,0.0,4.0,3.0,0.0,2010/04/25
September 28 99',199.0,504.0,4977.0,0.0,2011/05/27
ömer,0.0,2.0,2.0,0.0,2010/02/09
rodrigo,3.0,2.0,2.0,0.0,2012/04/08
SuJeong Lee,0.0,8.0,2.0,0.0,2010/12/17
dwie,81.0,140.0,278.0,0.0,2010/07/19
ale jair,1.0,1.0,1.0,0.0,2010/05/16
jhismar longart,0.0,13.0,1.0,0.0,2012/04/16
Solutions,23.0,107.0,43.0,0.0,2011/05/26
adriana espinal,2.0,27.0,4.0,0.0,2012/10/16
森山 龍也,76.0,81.0,1184.0,0.0,2012/05/12
Diego Nievas,176.0,87.0,137.0,1.0,2010/05/04
Julie Le Coz,6.0,5.0,4.0,0.0,2011/03/13
Mark Gadoury,10.0,26.0,102.0,0.0,2011/01/18
Lili ctepanenko,0.0,0.0,29.0,0.0,2013/05/17
MacKenzie Myers,25.0,16.0,18.0,0.0,2010/04/26
Ducksayrrtu,0.0,1.0,4.0,0.0,2012/10/21
timovice,1.0,20.0,2.0,0.0,2013/06/30
Chris Williams,11.0,42.0,28.0,0.0,2013/06/24
Don Fitzgerald,32,40,22,1,2009/05/13
JUAN PABLO IBARRA,1.0,1.0,2.0,0.0,2010/01/02
Alberto Carpinterez,1.0,5.0,2.0,0.0,2013/04/17
